"atom_index","1_cspec","1_hspec","1_multi","1_coupling","2_cspec","2_hspec","2_multi","2_coupling"
"1","105.9","","","","103.2","","",""
"2","163.4","","","","163.8","","",""
"3","105.0","","","","104.2","","",""
"4","168.5","","","","167.5","","",""
"5","105.3","","","","103.8","","",""
"6","170.2","","","","170.2","","",""
"7","34.9","2.86","dd","9.2, 3.6","29.1","3.25","td","4.0, 10.4"
"8","193.5","10.05","d","6.4","192.5","10.03","d","6.4"
"9","192.8","10.14","d","6.4","191.7","10.14","d","6.4"
"10","44.7","1.82","","","36.1","1.76","",""
"","","1.02","dd","10.0, 1.6","","1.05","dd","10.0, 1.2"
"11","27.5","1.0","d","10.0","24.9","1.02","d","10.0"
"12","23.8","","","","23.0","","",""
"13","22.0","5.9","dd","13.2, 3.2","20.0","5.95","dd","13.0, 2.4"
"1′","78.5","5.74","dd","2.0, 13.2","77.1","5.87","dd","2.8, 13.6"
"2′","138.7","","d","7.2","138.0","","d","7.2"
"3′","132.0","2.24","d","6.8","129.8","2.17","d","7.2"
