"atom_index","1_cspec","1_hspec","1_multi","1_coupling","2_cspec","2_hspec","2_multi","2_coupling","3_cspec","3_hspec","3_multi","3_coupling","4_cspec","4_hspec","4_multi","4_coupling","5_cspec","5_hspec","5_multi","5_coupling"
"1","40.2","1.02","m","","37.8","1.06","m","","38.5","1.02","m","","37.8","1.09","m","","39.2","0.86","m",""
"","","1.62","m","","","1.6","m","","","1.6","m","","","1.7","m","","","1.55","m",""
"2","27.2","1.68","m","","27.1","1.71","m","","27.4","1.68","m","","27.0","1.73","m","","25.8","1.5","m",""
"","","1.91","m","","","1.95","m","","","1.9","m","","","1.96","m","","","1.93","m",""
"3","90.1","3.19","dd","3.2, 11.4","90.1","3.21","dd","3.3, 11.9","91.2","3.18","dd","3.7, 11.4","90.9","3.24","dd","3.0, 10.7","88.2","3.07","m",""
"4","42.5","","","","41.0","","","","41.2","","","","40.0","","","","41.9","","",""
"5","57.3","0.75","m","","57.3","0.76","m","","57.4","0.77","m","","57.0","0.81","m","","55.6","0.71","m",""
"6","19.3","1.37","m","","19.3","1.36","m","","19.7","1.37","m","","19.3","1.43","m","","18.0","1.45","m",""
"","","1.51","m","","","1.53","m","","","1.53","m","","","1.57","m","","","","",""
"7","34.3","1.31","m","","34.3","1.31","m","","34.7","1.32","m","","34.3","1.37","m","","32.9","1.23","m",""
"","","1.48","m","","","1.53","m","","","1.52","m","","","1.55","m","","","1.44","m",""
"8","40.9","","","","40.2","","","","40.3","","","","40.1","","","","39.7","","",""
"9","49.3","1.52","m","","49.3","1.52","m","","49.4","1.53","m","","49.0","1.57","m","","47.6","1.44","m",""
"10","37.9","","","","37.8","","","","38.2","","","","40.0","","","","36.1","","",""
"11","24.4","1.9","m","","24.4","1.91","m","","24.8","1.91","m","","24.4","1.97","m","","23.1","1.83","m",""
"12","127.2","5.23","br s","","127.3","5.23","br s","","127.2","5.21","br s","","127.2","5.29","br s","","125.2","5.14","br s",""
"13","139.1","","","","139.0","","","","140.0","","","","139.0","","","","137.9","","",""
"14","43.2","","","","43.2","","","","43.6","","","","43.2","","","","41.9","","",""
"15","29.3","1.08","m","","29.3","1.1","m","","29.6","1.1","m","","29.2","1.16","m","","27.9","0.89","m",""
"","","1.91","m","","","1.93","m","","","1.9","m","","","1.98","m","","","1.85","m",""
"16","25.2","1.78","m","","25.2","1.76","m","","25.7","1.78","m","","25.2","1.79","m","","23.4","1.64","m",""
"","","2.05","m","","","2.04","m","","","2.02","m","","","2.12","m","","","1.96","m",""
"17","49.5","","","","49.5","","","","48.9","","","","49.2","","","","47.0","","",""
"18","54.2","2.21","d","11.2","54.2","2.22","d","11","54.7","2.18","d","11.2","54.1","2.27","d","11.1","52.6","2.1","dd","10.0"
"19","40.3","1.37","m","","40.4","1.39","m","","40.7","1.35","m","","40.3","1.43","m","","38.6","1.33","m",""
"20","40.2","0.94","m","","40.2","0.97","m","","40.5","0.96","m","","40.2","1.01","m","","38.4","0.92","m",""
"21","31.7","1.31","m","","31.7","1.31","m","","32.1","1.32","m","","31.7","1.38","m","","30.3","1.24","m",""
"","","1.48","m","","","1.52","m","","","1.48","m","","","1.55","m","","","1.46","m",""
"22","37.8","1.61","m","","37.5","1.62","m","","38.2","1.66","m","","37.4","1.68","m","","36.5","1.5","m",""
"","","1.73","m","","","1.75","m","","","1.78","m","","","1.79","m","","","1.64","m",""
"23","28.5","1.02","s","","28.6","1.04","m","","29.0","1.05","s","","28.6","1.12","s","","27.7","0.95","s",""
"24","17.6","0.84","s","","17.7","0.82","m","","18.1","0.83","s","","17.7","0.88","s","","17.0","0.82","s",""
"25","17.3","0.84","s","","17.3","0.82","m","","17.5","0.83","s","","17.1","0.88","s","","16.6","0.76","s",""
"26","17.9","0.84","s","","17.9","0.82","m","","18.2","0.83","s","","17.9","0.88","s","","17.3","0.72","s",""
"27","24.0","1.09","s","","24.0","1.1","m","","24.6","1.1","s","","24.1","1.16","s","","23.4","1.02","s",""
"28","178.0","","","","178.0","","","","182.0","","","","177.9","","","","175.4","","",""
"29","16.3","0.93","br s","","16.3","0.94","br s","","16.5","0.94","br s","","16.2","1.0","br s","","15.7","0.87","br s",""
"30","21.6","0.94","br s","","21.6","0.96","br s","","22.0","0.94","br s","","21.6","1.0","br s","","21.3","0.92","br s",""
